Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
accademiaperlaformazione.org,accademiaperlaformazione.org,http://accademiaperlaformazione.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
accatagliato.com/it/,com/it/,http://www.accatagliato.com/it/,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ailpadova.it,ailpadova.it,https://www.ailpadova.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
aeroclubpadova.it,aeroclubpadova.it,http://aeroclubpadova.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
abracalam.org,abracalam.org,http://www.abracalam.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aicaweb.it,aicaweb.it,https://www.aicaweb.it,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
borgoaltinate.it,borgoaltinate.it,http://www.borgoaltinate.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aiutiamoliaviverepadovaest.org,aiutiamoliaviverepadovaest.org,http://aiutiamoliaviverepadovaest.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
anteaspadova.it,anteaspadova.it,http://www.anteaspadova.it,True,True,https://anteaspadova.weebly.com/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
altrimentimusicali.org,altrimentimusicali.org,http://altrimentimusicali.org,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
aliceperidca.it,aliceperidca.it,http://www.aliceperidca.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
aibi.it/ita/,it/ita/,https://www.aibi.it/ita/,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
amici-irpea.it,amici-irpea.it,http://www.amici-irpea.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
opvorchestra.it/associazione-amici-opv/,it/associazione-amici-opv/,https://www.opvorchestra.it/associazione-amici-opv/,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
altralettura.it,altralettura.it,http://www.altralettura.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aes-ccc.it,aes-ccc.it,http://aes-ccc.it,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
amissidelpiovego.it,amissidelpiovego.it,http://www.amissidelpiovego.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
amicidellarussia.org,amicidellarussia.org,http://amicidellarussia.org,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
amicideipopolipadova.it,amicideipopolipadova.it,http://www.amicideipopolipadova.it,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
ragazzenelpallone.com,ragazzenelpallone.com,http://www.ragazzenelpallone.com,True,True,https://www.ragazzenelpallone.it/,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aspeapadova.it,aspeapadova.it,http://www.aspeapadova.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
valsuganarugby.it,valsuganarugby.it,http://www.valsuganarugby.it,True,False,,True,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
angolidimondo.it,angolidimondo.it,http://angolidimondo.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
arcapadova.it,arcapadova.it,http://arcapadova.it,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
anzianiacasapropria.it,anzianiacasapropria.it,http://www.anzianiacasapropria.it,True,False,,False,False,False,False,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False
fiab-padova.it,fiab-padova.it,https://www.fiab-padova.it,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
pataviumpetrarca.it,pataviumpetrarca.it,http://pataviumpetrarca.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
apprendolab.it,apprendolab.it,http://www.apprendolab.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
antichi-mestieri.it,antichi-mestieri.it,http://www.antichi-mestieri.it,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
asfveneto.org/,org/,http://www.asfveneto.org/,True,False,,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
arcipadova.org,arcipadova.org,http://www.arcipadova.org,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
associazionearcobaleno.it,associazionearcobaleno.it,http://associazionearcobaleno.it,True,False,,False,False,False,False,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False
